plantid,timestamp,mature,rank_phenomenal,rank_tracking,rank_annotation,h,l,a,l_extended
1424,1496074174,True,10,13,-1,426.0,510.2545308788961,142.3146266316516,567.8733009884937
1424,1496074174,False,11,16,-1,538.0,239.72349624307392,-48.07745539942438,239.72349624307392
1424,1496074174,False,12,14,-1,738.0,376.8138312188377,158.57954088079012,410.5914800752679
1424,1496074174,False,13,15,-1,790.0,296.0,0.0,320.0208342143616
1424,1496159401,True,1,4,-1,-530.0,261.279116471319,47.27214441094836,309.0413363301207
1424,1496159401,True,2,5,-1,-378.0,737.4747728471694,-144.22906381345987,818.8875522483401
1424,1496159401,True,3,6,-1,-270.0,876.6619848457551,48.543747357681426,981.6034811966742
1424,1496159401,True,4,7,-1,-198.0,989.2516407689156,-122.0241966552599,1129.3712818069882
1424,1496159401,True,5,8,-1,-166.0,1084.9256902325883,53.87981546956937,1170.146922229145
1424,1496159401,True,6,9,-1,-74.0,929.3279444800073,-149.1217571296934,1072.3885483304132
1424,1496159401,True,7,10,-1,38.0,820.1810772186701,-37.944795865317424,909.4129015902881
1424,1496159401,True,8,11,-1,182.0,759.6767945845435,-158.95141373105963,759.6767945845435
1424,1496159401,True,9,12,-1,338.0,519.53677146617,-14.480150590509359,606.6204071073546
1424,1496159401,True,10,13,-1,482.0,500.8955470302736,129.90858620456868,554.7718681895122
1424,1496159401,True,11,14,-1,542.0,355.8793351624724,-84.22567409733672,355.8793351624724
1424,1496159401,False,12,15,-1,646.0,365.87777310449496,134.55157740787095,403.1775379794037
1424,1496159401,False,13,16,-1,762.0,344.82652290390763,86.59355624500529,350.7327578390588
1424,1496159401,False,14,0,-1,742.0,270.0666419935816,-45.0,297.818530948468
1424,1496245607,True,1,3,-1,-614.0,48.0,0.0,173.79378131787843
